Reporter Countries,Partner Countries,Item,Value
Czechia,Cyprus,Maize (corn),0
Czechia,Denmark,Maize (corn),11.66
Czechia,Denmark,Sorghum,304.06
Czechia,Denmark,Wheat and meslin flour,5.21
Democratic Republic of the Congo,Angola,Maize (corn),417.73
Democratic Republic of the Congo,Angola,Soya bean oil,231.39
Democratic Republic of the Congo,Angola,Wheat and meslin flour,15.5
Democratic Republic of the Congo,Belgium,Wheat,0.18
Denmark,Austria,Maize (corn),0.03
Denmark,Austria,Wheat,84.57
Denmark,Belgium,Maize (corn),0.03
Denmark,Belgium,Wheat,3.14
Denmark,Belgium,Wheat and meslin flour,36.8
Denmark,Bulgaria,Wheat,0.27
Denmark,Bulgaria,Wheat and meslin flour,0.25
Denmark,Croatia,Maize (corn),0.01
Denmark,Croatia,Wheat,2.49
Denmark,Cyprus,"Peas, green",0.02
Denmark,Cyprus,Wheat,0.19
Denmark,Czechia,Wheat,4.91
Denmark,Czechia,Wheat and meslin flour,2.78
Dominica,Antigua and Barbuda,Wheat and meslin flour,29
Dominican Republic,Antigua and Barbuda,Soya bean oil,0.81
Dominican Republic,"China, Hong Kong SAR",Soya bean oil,44.21
Dominican Republic,"China, mainland",Soya bean oil,18.13
Dominican Republic,Cuba,Soya bean oil,1966.18
Dominican Republic,Cuba,Wheat and meslin flour,151.52
